Date dd/mm/yyyy,Startup Name,Industry Vertical,Location,Investors Name,InvestmentnType,Amount in USD
21/11/2017,Credit Mate,Technology,Mumbai,Paytm,Private Equity,0.0
21/11/2017,Epiq Capital,Finance,Mumbai,Global Institutional Investors,Private Equity,19.11382792451231
22/11/2017,MiStay,Technology,Bengaluru,Axilor Ventures,Seed/Angel Funding,0.0
23/11/2017,WittyFeed,Storytelling,Indore,Sandeep Aggarwal,Seed/Angel Funding,0.0
24/11/2017,IDG Ventures,Finance,Bengaluru,Uniliver Ventures,Private Equity,16.11809565095832
24/11/2017,TempGo,Technology,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,12.429216196844383
27/11/2017,Edelweiss,Finance,Mumbai,Undisclosed investors,Private Equity,19.41393251696265
27/11/2017,ERA,Technology,Mumbai,Amit Patni,Seed/Angel Funding,10.571316925111784
27/11/2017,Smaaash,Technology,Mumbai,Sixth Sense Ventures,Private Equity,15.150511624696614
28/11/2017,Chumbak,Lifestyle,Bengaluru,Gaja Capital,Private Equity,16.38045991542581
28/11/2017,FR8,Technology,Chennai,IFMR Capital,Debt Funding,14.22097566607244
28/11/2017,MobieFit,Healthcare,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,14.115615150414612
28/11/2017,Stanza Living,Technology,Delhi,"Matrix PArtners, Accel",Private Equity,14.508657738524219
03/10/2017,ChqBook,Consumer Internet,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,0.0
03/10/2017,HomeCapital,Consumer Internet,Mumbai,Venture Catalysts,Seed Funding,0.0
03/10/2017,Ola Cabs,Consumer Internet,Bengaluru,"Tencent, Softbank Group",Private Equity,18.51599092375669
04/10/2017,Elanic,Consumer Internet,Bengaluru,Digital Garage,Seed Funding,0.0
04/10/2017,CollPoll,Consumer Internet,Bengaluru,Sprout Angels,Seed Funding,12.631340380934517
04/10/2017,PhonePe,Consumer Internet,Bengaluru,Flipkart,Private Equity,17.47135015800001
05/10/2017,Little Black Book,Consumer Internet,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,13.815510557964274
05/10/2017,Oorjan,Technology,Mumbai,Globevestor,Seed Funding,13.017002861746503
05/10/2017,Zefo,ECommerce,Bengaluru,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,16.034714042019267
06/10/2017,Yaantra,ECommerce,New Delhi,Carpediem Capital,Private Equity,14.946912669455374
06/10/2017,Farm Taaza,Technology,Bengaluru,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,15.89495209964411
06/10/2017,Drivezy,Consumer Internet,Bengaluru,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,16.11809565095832
06/10/2017,Slice Pay,Consumer Internet,Bengaluru,"Das Capital, Simile Ventures",Private Equity,14.508657738524219
09/10/2017,Agrowave,Technology,Gurgaon,Daffodil Software,Seed Funding,0.0
09/10/2017,MyGubbi,eCommerce,Bengaluru,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,14.808762330974558
09/10/2017,IBSFintech,Technology,Bengaluru,Shailesh Haribhakti,Seed Funding,0.0
09/10/2017,Letsservice,Consumer Internet,Bengaluru,Aequs Group,Private Equity,0.0
09/10/2017,OneStepUp,Technology,New Delhi,Orient BlackSwan,Seed Funding,12.724866438945341
09/10/2017,ThirdWatch,Technology,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,0.0
10/10/2017,Parallel Dots,Technology,Gurgaon,"Multipoint Capital,",Private Equity,14.151982794585487
10/10/2017,Easy Diner,Consumer Internet,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,15.319587954740548
11/10/2017,Meesho,ECommerce,Bengaluru,"SAIF Partners, YCombinator, Venture Highway",Private Equity,14.946912669455374
11/10/2017,StanPlus,Logistics,Hyderabad,KStart Capital,Private Equity,13.9108207377686
12/10/2017,UCLID,Technology,Hyderabad,Undisclosed investors,Seed Funding,12.367340793126296
13/10/2017,Policy Bazaar,Consumer Internet,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,18.159315979817958
13/10/2017,Gapoon,Consumer Internet,Bengaluru,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,12.429216196844383
13/10/2017,Chaayos,eCommerce,Gurgaon,Tiger Global Management,Private Equity,14.508657738524219
16/10/2017,KrazyBee,Consumer Internet,Bengaluru,"Xiaomi Technologies, Shunwei Capital",Private Equity,15.89495209964411
16/10/2017,Renew Buy,Consumer Internet,New Delhi,Amicus Capital,Private Equity,16.034714042019267
17/10/2017,Fingerlix,Consumer Internet,Bengaluru,"Accel Partners, Zephyr Peacock",Private Equity,15.761420707019587
18/10/2017,Bank Bazaar,Consumer Internet,Chennai,Experian,Private Equity,15.761420707019587
18/10/2017,Hasura,Technology,Chennai,"Nexus, GREE Ventures",Private Equity,0.0
18/10/2017,BlackBuck,Logistics,Bengaluru,Innoven Capital,Private Equity,15.856730886823913
18/10/2017,LenDen Club,Consumer Internet,Mumbai,Undisclosed Investor,Seed Funding,13.122363377404328
23/10/2017,Toppr,Consumer Internet,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,15.761420707019587
23/10/2017,RAW Pressery,Food & Beverage,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,15.60727002719233
23/10/2017,Cashe,Consumer Internet,Mumbai,IFMR Capital,Debt Funding,14.946912669455374
23/10/2017,Park Easy,Consumer Internet,Kolkata,Rockstart Accelerator,Seed Funding,11.678439903447801
24/10/2017,TagBox,Technology,Bengaluru,"Indian Angel network, IAN Fund",Seed Funding,0.0
24/10/2017,FYRE,Food & Beverage,Mumbai,Venture Catalysts,Seed Funding,13.122363377404328
24/10/2017,ZipLoan,Consumer Internet,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,14.914122846632385
24/10/2017,Skillenza,Consumer Internet,Bengaluru,"Blume Ventures, Indian Angel Network",Seed Funding,13.489780417874963
24/10/2017,Chevon,Food & Beverage,Mumbai,Greenfield Advisory,Private Equity,0.0
25/10/2017,PropStory,Consumer Internet,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,0.0
25/10/2017,SpotDraft,Consumer Internet,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,13.217673557208654
26/10/2017,Big Basket,eCommerce,Bengaluru,Helion Ventures Partners,Private Equity,15.424948470398375
27/10/2017,OfBusiness,Technology,Gurgaon,Kotak Mahindra Bank,Debt Funding,15.150511624696614
27/10/2017,Olly Credit,Technology,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,0.0
28/10/2017,CashFree,Technology,New Delhi,Y Combinator,Seed Funding,11.695247021764184
28/10/2017,Ola Cabs,Consumer Internet,Bengaluru,ANI Technologies Pvt. Ltd,Private Equity,15.856730886823913
30/10/2017,GoldFarm,Food & Beverage,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,14.508657738524219
31/10/2017,NetMeds,ECommerce,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,16.454567887579532
31/10/2017,MSE,Finance,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,17.281246460764002
01/09/2017,Aahaa Stores,eCommece,Chennai,YourNest Angel Fund,Private Equity,13.815510557964274
01/09/2017,MFine,Consumer Internet,Bengaluru,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,14.22097566607244
01/09/2017,Canvera,Consumer Internet,Mumbai,InfoEdge,Private Equity,14.077874822431765
04/09/2017,PrimaryIO,Technology,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,15.538277155705378
05/09/2017,Shubh Loans,Consumer Internet,Bengaluru,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,14.22097566607244
05/09/2017,Nest Education,Technology,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,13.304684934198283
06/09/2017,Lending Kart,Consumer Internet,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,16.190416312537945
06/09/2017,GoFro,Consumer Internet,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,16.11809565095832
06/09/2017,OncoStem,Healthcare,Bengaluru,"Sequoia Capital India, Artiman Ventures",Private Equity,15.60727002719233
06/09/2017,Power2SME,eCommerce,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,17.073607095985757
07/09/2017,Credit Vidya,Consumer Internet,Mumbai,Matrix Partners,Private Equity,15.424948470398375
07/09/2017,Tails Life,Consumer Internet,Bengaluru,V Balakrishnan.,Private Equity,0.0
07/09/2017,OYO Rooms,Consumer Internet,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,19.33697147582652
07/09/2017,Early Salary,Consumer Internet,Pune,IFMR Capital,Debt Funding,13.567049198665774
07/09/2017,MamaEarth,eCommerce,Gurgaon,Fireside Ventures,Seed Funding,0.0
07/09/2017,Seniority,eCommerce,Pune,RPG Enterprises,Private Equity,13.815510557964274
08/09/2017,AYE Finance,Consumer Internet,New Delhi,"Triodos Investment Management,",Debt Funding,15.747031969567487
08/09/2017,Farmizen,Technology,Bengaluru,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,0.0
11/09/2017,Ecom Express,Logistics,New Delhi,Warburg Pincus,Private Equity,17.216707939626428
11/09/2017,Call Health,Consumer Internet,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,15.64005985001532
12/09/2017,Sattviko,eCommerce,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,0.0
12/09/2017,3HCare,Consumer Internet,New Delhi,Undisclosed Investor,Seed Funding,11.512925464970229
12/09/2017,Tonbo Imaging,Technology,Bengaluru,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,16.64872390202049
12/09/2017,Get My Parking,Consumer Internet,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,14.914122846632385
13/09/2017,WittyFeed,Technology,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,0.0
13/09/2017,Glowroad,Consumer Internet,Bengaluru,"Accel Partners,",Private Equity,14.508657738524219
13/09/2017,OYO Rooms,Consumer Internet,Gurgaon,China Lodging Group,Private Equity,16.11809565095832
13/09/2017,Unacademy,Consumer Internet,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,16.25785759333348
13/09/2017,Heterogenous,Technology,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,13.567049198665774
14/09/2017,Gurukul,Consumer Internet,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,0.0
14/09/2017,Smaaash,Technology,Mumbai,ECL Finance,Private Equity,17.599700191882537
14/09/2017,WheelStreet,Consumer Portal,Bengaluru,Y Combinator,Seed Funding,11.695247021764184
14/09/2017,Xprep,Consumer Internet,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,0.0
18/09/2017,The Moms Co,eCommerce,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,13.815510557964274
19/09/2017,Noticeboard,Technology,Bengaluru,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,0.0
19/09/2017,High Radius,Technology,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,17.72753356339242
20/09/2017,HWell24 Plus,Healthcare,Mumbai,Undisclosed Investors,Seed Funding,0.0
21/09/2017,SaveBC,Finance,Gaya,Incofin Investment Management.,Private Equity,15.60727002719233
21/09/2017,Gaming Monk,Consumer Internet,New Delhi,AdvantEdge,Private Equity,0.0
21/09/2017,91SpringBoard,Consumer Internet,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",Private Equity,0.0
21/09/2017,Homergize,eCommerce,Bengaluru,LG Chandrasekhar,Private Equity,13.815510557964274
22/09/2017,Yatra.com,eCommerce,Gurgaon,InnoVen Capital India,Debt Funding,16.549878067383858
22/09/2017,Ace Turtle,Technology,Bengaluru,InnoVen Capital,Private Equity,0.0
25/09/2017,Vogo,Consumer Internet,Bengaluru,AV Thomas Group,Seed Funding,0.0
25/09/2017,Synup,Technology,Bengaluru,"Vertex Ventures, Prime Venture Partners.",Private Equity,15.60727002719233
25/09/2017,Tinmen,Consumer Internet,Hyderabad,Zomato Media Pvt. Ltd,Private Equity,0.0
25/09/2017,Cropin,Technology,Bengaluru,Beenext,Private Equity,0.0
25/09/2017,Rapido,Consumer Internet,Bengaluru,Battery Road Digital Holdings LLC,Seed Funding,12.952760593018148
25/09/2017,Sportobuddy,Consumer Internet,Mumbai,Mehul Shah,Seed Funding,11.918390573078392
26/09/2017,Credifiable,Consumer Internet,Bengaluru,Kae Capital,Private Equity,0.0
26/09/2017,Inclov,Consumer Internet,Gurgaon,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Funding,0.0
26/09/2017,Multibhashi,Consumer Internet,Bengaluru,"Aniruddha Malpani, Startup Oasis",Seed Funding,0.0
27/09/2017,Transerve,Technology,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,14.28551418721001
27/09/2017,Fashalot,Consumer Internet,Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private Equity,0.0
27/09/2017,Pitstop,Consumer Internet,Bengaluru,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,13.815510557964274
27/09/2017,GoChoppers,Consumer Internet,Gurgaon,"Rivergate Capital,",Seed Funding,0.0
27/09/2017,MyUpchar,Consumer Internet,New Delhi,LetsVenture,Seed Funding,12.611537753638338
28/09/2017,Aadyah,Technology,Bengaluru,Keiretsu Forum,Private Equity,13.815510557964274
01/08/2017,TouchKin,Technology,Bengaluru,Kae Capital,Private Equity,14.077874822431765
02/08/2017,Ethinos,Technology,Mumbai,Triton Investment Advisors,Private Equity,0.0
02/08/2017,Leverage Edu,Consumer Internet,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,0.0
02/08/2017,Zepo,Consumer Internet,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,13.122363377404328
02/08/2017,Click2Clinic,Consumer Internet,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,13.652991628466498
03/08/2017,SpeedBox,Logistics,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,12.611537753638338
03/08/2017,Skill Connect,Consumer Internet,Jaipur,Rajasthan Angel Investor Network,Seed Funding,0.0
03/08/2017,Chai Point,Consumer Internet,Bengaluru,"DSG Consumer Partners, Eight Roads Ventures India",Private Equity,0.0
03/08/2017,Zoctr,Consumer Internet,Mumbai,SIDBI,Private Equity,0.0
04/08/2017,Lime Tray,Technology,New Delhi,JSW Ventures,Private Equity,0.0
04/08/2017,CoutLoot,eCommerce,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,0.0
04/08/2017,Box My Space,Logistics,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Funding,0.0
05/08/2017,Curatio,Healthcare,Chennai,Anicut Capital,Private Equity,0.0
08/08/2017,New Castle Technologies,Technology,Chennai,Undisclosed investors,Seed Funding,12.400816722322686
08/08/2017,My Forex Eye,Consumer Internet,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,12.301382825334498
09/08/2017,TruxApp,Logistics,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,14.946912669455374
09/08/2017,CroFarm,Technology,Gurgaon,Factor[e] Ventures,Seed Funding,13.57088797497294
09/08/2017,DoodhWala,Consumer Internet,Bengaluru,Tom Varkey,Seed Funding,0.0
10/08/2017,Stayabode,Consumer Internet,Bengaluru,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,0.0
11/08/2017,Flipkart,eCommerce,Bengaluru,Softbank,Private Equity,21.639556568820566
11/08/2017,Moong Labs,Technology,New Delhi,Nazara Games,Private Equity,0.0
11/08/2017,Ola Cabs,Consumer Internet,Gurgaon,Tekne Capital Management,Private Equity,17.399029496420383
14/08/2017,Sports Flashes,Consumer Internet,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,0.0
14/08/2017,Digilend,Technology,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,12.65075846679162
15/08/2017,KNAB Finance,Consumer Internet,Bengaluru,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,12.86099861326992
17/08/2017,Get Simpl,Consumer Internet,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed Funding,0.0
20/08/2017,Rootefy,eCommerce,New Delhi,"Abhinav Gupta,",Seed Funding,12.138863895836725
21/08/2017,Uniphore,Technology,Chennai,IDG Ventures,Private Equity,15.732433170146335
21/08/2017,Cerebroz,Consumer Internet,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,13.506264307596652
22/08/2017,Flochat,Consumer Internet,Mumbai,"iSquare Global,",Seed Funding,0.0
22/08/2017,EasyGov,Consumer Internet,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed Funding,0.0
23/08/2017,Milk Basket,Consumer Internet,Gurgaon,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),Seed Funding,0.0
23/08/2017,Dhruva,Technology,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,18.197537192638155
23/08/2017,Bombay Shaving Company,eCommerce,New Delhi,Fireside Ventures,Private Equity,14.648419680899378
23/08/2017,Awign,Technology,Bengaluru,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Funding,0.0
23/08/2017,Indiez,Technology,Bengaluru,Haresh Chawla,Seed Funding,13.122363377404328
24/08/2017,Ezetap,Technology,Bengaluru,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,16.588099280204055
25/08/2017,Ink Monk,Consumer Internet,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,13.527828485512494
25/08/2017,Medinfi,Consumer Internet,Bengaluru,"PBS Srinivas, Vinod Martin,",Seed Funding,11.736069016284437
28/08/2017,Mobikon,Technology,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,15.761420707019587
29/08/2017,CureFit,Consumer Internet,Bengaluru,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,17.034386382832476
29/08/2017,Doxper,Technology,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,13.527828485512494
29/08/2017,Fieldassist,Technology,Gurgaon,Small Industries Development Bank of India (SIDBI),Debt Funding,0.0
30/08/2017,Treebo,Consumer Internet,Bengaluru,"Ward Ferry Management and Karst Peak Capital,",Private Equity,17.341871082580436
30/08/2017,MedGenome,Technology,Bengaluru,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,17.216707939626428
01/07/2017,Billion Loans,Consumer Internet,Bengaluru,Reliance Corporate Advisory Services Ltd,Seed Funding,13.815510557964274
03/07/2017,Ecolibriumenergy,Technology,Ahmedabad,"Infuse Ventures, JLL",Private Equity,14.77102200299171
04/07/2017,Droom,eCommerce,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,16.811242831518264
05/07/2017,Jumbotail,eCommerce,Bengaluru,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,15.955576721460545
05/07/2017,Moglix,eCommerce,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,16.300417207752275
05/07/2017,Timesaverz,Consumer Internet,Mumbai,BCCL,Private Equity,13.815510557964274
06/07/2017,Minjar,Technology,Bengaluru,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,0.0
06/07/2017,MyCity4kids,Consumer Internet,Gurgaon,Unknown,Seed Funding,0.0
07/07/2017,Clip App,Consumer Internet,Bengaluru,"India Quotient, Shunwei Capital",Seed Funding,13.815510557964274
07/07/2017,Upwardly.in,Consumer Internet,Bengaluru,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,0.0
10/07/2017,Autorox.co,Technology,Hyderabad,Mitsui & Co.,Private Equity,14.914122846632385
11/07/2017,Fabogo,Consumer Internet,Pune,Dunamis Ventures Pte Ltd,Private Equity,14.626440774180603
11/07/2017,Flickstree,Consumer Internet,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,13.047639831208393
11/07/2017,Design Cafe,Consumer Internet,Bengaluru,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,0.0
12/07/2017,Innoviti,Technology,Bengaluru,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,16.733281290048552
12/07/2017,VDeliver,Logistics,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,0.0
12/07/2017,Bottr.me,Technology,Bengaluru,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,0.0
12/07/2017,Arcatron,Technology,Pune,Indian Angel Network,Seed Funding,0.0
14/07/2017,QwikSpec,Technology,Bengaluru,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,13.199324418540456
14/07/2017,Chumbak,eCommerce,Bengaluru,Blacksoil Capital Pvt. Ltd,Private Equity,14.346138809026444
17/07/2017,Increff,Technology,Bengaluru,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,14.508657738524219
17/07/2017,Vayana,Technology,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,15.201804919084164
18/07/2017,MObiquest,Technology,Noida,One97 Communication Ltd,Private Equity,0.0
18/07/2017,Ambee,Consumer Internet,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",Seed Funding,0.0
18/07/2017,Ideal Insurance,Consumer Internet,Kolkata,Xelpmoc,Seed Funding,0.0
18/07/2017,Hypernova Interactive,Technology,Bengaluru,Kae Capital,Seed Funding,0.0
19/07/2017,Rentomojo,Consumer Internet,Bengaluru,"ain Capital Ventures, Renaud Laplanche",Private Equity,16.11809565095832
19/07/2017,AirCTO,Consumer Internet,Bengaluru,Francesco Cara,Seed Funding,0.0
19/07/2017,Playablo,Technology,Bengaluru,ABI-Showatech (India) Ltd,Seed Funding,13.304684934198283
20/07/2017,Trupay,Technology,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,13.458835614025542
21/07/2017,Brick2Wall,eCommerce,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,12.206072645530174
21/07/2017,FableStreet,eCommerce,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed Funding,0.0
21/07/2017,Monsoon Fintech,Technology,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Seed Funding,0.0
21/07/2017,MonkeyBox,Consumer Internet,Bengaluru,"Blume Ventures, NB Ventures, Nspira",Seed Funding,0.0
25/07/2017,Noticeboard,Consumer Internet,Bengaluru,"Stellaris Venture Partners,",Private Equity,13.997832114758229
25/07/2017,Byju's,Consumer Internet,Bengaluru,Tencent Holdings,Private Equity,17.37085861945369
26/07/2017,Creator's Gurukul,Others,New Delhi,Yuvraj Singh,Seed Funding,0.0
26/07/2017,Fab Hotels,Consumer Internet,New Delhi,Goldman Sachs,Private Equity,17.034386382832476
26/07/2017,ThinkerBell,Consumer Internet,Bengaluru,"Indian Angel Network, Anand Mahindra",Seed Funding,12.206072645530174
27/07/2017,1mg,eCommerce,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,16.523560759066484
28/07/2017,Jhakaas,Consumer Internet,Mumbai,Amen Dhyllon,Seed Funding,0.0
28/07/2017,BigStylist,Consumer Internet,Mumbai,Info Edge (India) Ltd,Private Equity,14.038654109278484
28/07/2017,Gympik.com,Consumer Internet,Bengaluru,RoundGlass Partners,Seed Funding,0.0
01/06/2017,Tripeur,Technology,Bengaluru,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",Seed Funding,0.0
02/06/2017,RentOnGo,eCommerce,Bengaluru,TVS Motor Company,Seed Funding,12.363076394339839
05/06/2017,Goomo,Consumer Internet,Mumbai,Emerging India,Private Equity,17.72753356339242
05/06/2017,MaxMyWealth,Consumer Internet,Mumbai,"lockchain ecosystem Global Advisors, Horseferry",Private Equity,0.0
06/06/2017,Spinny,eCommerce,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,13.815510557964274
06/06/2017,Healthbuds,Consumer Internet,Kolkata,"Arun Patodia, Bharat Kedia",Seed Funding,0.0
06/06/2017,Ftcash,Consumer Internet,Mumbai,"500 Startups, IvyCap Ventures",Private Equity,0.0
06/06/2017,BHIVE Workspace,Consumer Internet,Bengaluru,Blume Ventures,Private Equity,13.997832114758229
06/06/2017,wayForward,Consumer Internet,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,13.815510557964274
06/06/2017,GyanDhan,Consumer Internet,New Delhi,Sundaram Finance Holdings,Private Equity,0.0
06/06/2017,Hungry Foal,Consumer Internet,Gurgaon,SBI (Stand Up India Scheme),Private Equity,0.0
07/06/2017,ZipLoan,Consumer Internet,New Delhi,WaterBridge Ventures,Seed Funding,13.38472764187182
07/06/2017,GrowFitter,Consumer Internet,Mumbai,SQue Capital,Seed Funding,13.304684934198283
08/06/2017,Stratfit,Consumer Internet,Hyderabad,Bodhtree Consulting Limited,Seed Funding,12.354492650648448
08/06/2017,Multiplier Solutions,Technology,Hyderabad,Norwest Venture Partners,Private Equity,14.22097566607244
08/06/2017,ABI Health,Technology,Bengaluru,Norwest Venture Partners,Private Equity,14.22097566607244
08/06/2017,Stockal,Consumer Internet,Bengaluru,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,12.765688433465597
09/06/2017,Guidoo,Consumer Internet,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,12.611537753638338
09/06/2017,eSahai.in,Consumer Internet,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,12.429216196844383
