Date dd/mm/yyyy,Startup Name,Industry Vertical,Location,Investors Name,InvestmentnType,Amount in USD
19/08/2019,Grofers,E-Commerce,Gurgaon,Softbank Vision Fund,Series F,18.064005800013632
27/08/2019,Rapido Bike Taxi,Transportation,Bengaluru,Westbridge Capital,Series B,22.08424239008201
02/07/2019,RenewBuy,Finance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,16.759949537130716
02/07/2019,Atlan,Information Technology,Singapore,WaterBridge Ventures,Pre-Series A,14.73180128983843
01/07/2019,WizCounsel,Compliance,New Delhi,Kapil Dev,Angel,11.884489021402711
03/07/2019,Ola Cabs,Transport,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,13.815510557964274
01/07/2019,Uniphore,Artificial Intelligence,Taramani,March Capital Partners,Series C,17.45519976788744
04/07/2019,Daalchini Technologies,Food and Beverage,New Delhi,Artha Venture,Seed Round,13.122363377404328
10/07/2019,"""BYJU'S""",EdTech,Bengaluru,Qatar Investment Authority,Private Equity Round,18.82614585206053
11/07/2019,Moglix,E-Commerce,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,17.909855120186375
10/07/2019,Ezyhaul,Tech,Singapore,Undisclosed,Series B,16.588099280204055
10/07/2019,Indus OS,Tech,Andheri,Ventureast,Series B,15.564710412773533
10/07/2019,HealthAssure,Health Care,Mumbai,Blume Ventures,Series A,14.73180128983843
09/07/2019,House of Msasaba,Luxury Label,Mumbai,Binny Bansal,Series A,13.815510557964274
08/07/2019,Board Infinity,EdTech,Chembur,Multiple Angel Investors,Angel Round,12.674841137307576
05/06/2019,NoBroker,E-Commerce,Bengaluru,General Atlantic,Series C,17.7473361906886
04/06/2019,Bira91,Food and Beverage,New Delhi,Anicut Capital,Debt Funding,16.11809565095832
03/06/2019,FabHotels,E-Commerce,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",Private Equity,15.402697859393555
03/06/2019,Avail Finance,Finance,Bengaluru,Matrix Partners,Series A,16.012735135300492
04/06/2019,BharatPe,Finance,New Delhi,Insight Partners,Series B,18.132998671500584
04/06/2019,Recykal,Waste Management Service,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,17.073607095985757
03/06/2019,Agara Labs,Deep-Tech,Bengaluru,Blume Ventures and RTP Global,pre-Series A,14.73180128983843
06/06/2019,Sistema.bio,Agriculture,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Seed Funding,14.82311610972037
06/06/2019,Chakr Innovation,Energy,New Delhi,IAN Fund,Series A,17.073607095985757
06/06/2019,Pratilipi,Digital Media,Bengaluru,Qiming Venture Partners,Series B,16.53083424303298
10/06/2019,Bolo App,Digital Media,Bengaluru,Nexus Venture Partners,Seed Funding,12.972005495815766
10/06/2019,OkCredit,FinTech,Haryana,Tiger Global Management,Series A,16.556350581889475
06/06/2019,Biz2Credit,FinTech,New York,WestBridge Capital,Series B,17.7667542765457
08/06/2019,Vogo Automotive Pvt. Ltd.,Transportation,Karnataka,Alteria Capital,Debt Funding,15.091990053076959
04/06/2019,Leegality,Services,Multiple Cities,Mumbai Angels,Series A,15.03928598958639
06/05/2019,Ola Electric,Transport,Bengaluru,Tata Sons,Series A,0.0
06/05/2019,Saahas Zero Waste,Waste Management Service,Bengaluru,C4D Partners,Venture - Series Unknown,13.674637999082858
05/05/2019,StyleDotMe,E-commerce,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0
01/05/2019,BlackBuck,Transport,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,18.82614585206053
02/05/2019,Zenoti,Saas,Hyderabad,Tiger Global Management,Series C,17.72753356339242
28/05/2019,Ather Energy,Automobile,Bengaluru,Sachin Bansal,Series C,17.7473361906886
28/05/2019,FreshVnF,Agtech,Mumbai,Equanimity Ventures,Seed Round,18.75715298057358
30/05/2019,GlowRoad,E-commerce,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,16.25785759333348
31/05/2019,Bira91,Food and Beverage,New Delhi,Sixth Sense Ventures,Series B,15.538277155705378
16/04/2019,Kuvera,Finance,Bengaluru,Eight Roads,Series A,17.622173047734595
12/04/2019,Medlife,E-commerce,Bengaluru,Prasid Uno Family Trust,Private Equity,16.64872390202049
10/04/2019,Kabadiwala,E-commerce,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,12.973085804680046
13/04/2019,Tripoto,Social Media,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,15.09404569549203
12/04/2019,Azah,Health and Wellness,Gurugram,Unnamed angel investors,Seed Funding,12.206072645530174
11/04/2019,Setu,Fintech,Bengaluru,Lightspeed India Partners,Seed Funding,15.068273526459642
10/04/2019,Toppr,Edtech,Mumbai,Milestone,Debt and Preference capital,15.65935950454209
10/04/2019,Craftsvilla,E-commerce,Mumbai,Supera Pte Ltd,Inhouse Funding,14.708939949445114
10/04/2019,Unacademy,Edtech,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,12.634603026569334
11/04/2019,CleverTap,SaaS,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,17.073607095985757
19/04/2019,My Healthcare,E-commerce,Multiple Cities,Sixth Sense Ventures,Series A,14.914122846632385
19/04/2019,KrazyBee,E-commerce,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,16.478702853424657
17/04/2019,Shuttl,Transportation,Gurugram,New Atlantic Ventures,Venture Round,15.424948470398375
17/04/2019,Increff,Technology,Bengaluru,"021 Capita, Binny Bansal",Series A,14.914122846632385
01/02/2019,FleetX,AI,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0.0
08/02/2019,Zilingo,Ecommerce,Multiple Cities,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,19.23604555723656
13/02/2019,NanoClean Global,Nanotechnology,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,13.304684934198283
14/02/2018,OyoRooms,Hospitality,Gurgaon,DiDi Chuxing,Equity,18.420680743952367
03/01/2019,CarDekho,Automobile,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,18.51599092375669
04/01/2019,Vyome Therapeutics Inc.,Health and Wellness,Multiple Cities,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,16.90655301132259
04/01/2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,15.424948470398375
04/12/2018,Manch,Social Media,Delhi,Stellaris Venture Partners,Seed Funding,13.458835614025542
01/12/2018,UrbanClap Technologies Pvt. Ltd,Services Platform,New Delhi,Steadview Capital and Vy Capital.,Series D,17.72753356339242
02/12/2018,Guiddoo,Travel Tech,Mumbai,Individual Investors,Pre-Series A,13.592367006650065
02/12/2018,Career Anna,Online Education,Gurugram,Individual Investors,Pre-Series A,13.256894270361935
04/12/2018,Nagpur Wholesale,Online Marketplace,Nagpur,Omphalos Ventures India LLP,Seed Funding,11.870599909242044
06/12/2018,ShopKirana,B2B,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,14.508657738524219
06/12/2018,BuildSupply,"SaaS, Ecommerce",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,15.068273526459642
01/11/2018,GoDesi,Food and Beverage,Bengaluru,Lead Angels Network,Seed/ Angel Funding,11.842193240242826
03/11/2018,Veritas Finance Ltd.,NBFC,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,17.140510606790865
06/11/2018,Meesho,Ecommerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,17.72753356339242
08/11/2018,Mobile Premier League,Gaming,Bengaluru,Undisclosed,Series A,13.122363377404328
08/11/2018,A&R Bon Vivants,Food,Jaipur,"RB Investments, Singapore",Equity,13.815510557964274
12/11/2018,Blackbuck,Food Tech,Multiple Cities,Tiger Global,Series A,13.815510557964274
12/11/2018,MilkBAsket,Food,New Delhi,Mayfield Fund,Series B,14.077874822431765
13/11/2018,DriveU,Transport,Bengaluru,Stevens Creek Ventures,Mezzanine,13.815510557964274
14/11/2018,CleanseCar,Services,Bengaluru,Venture Catalysts,Seed/ Angel Funding,13.122363377404328
19/11/2018,Automation Anywhere,Automation,California,SoftBank Vision Fund,Series B,19.519293032620475
20/11/2018,HealthifyMe,Health and Wellness,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),15.60727002719233
21/11/2018,Genius Corner,Education,Noida,Individual investors,Seed Funding,12.535376392672774
22/11/2018,Aavishkaar-Intellecap Group,Investment,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,17.24949776244942
